ID,发布时间,点赞数,评论数,转发数,链接,摘要,正文
379104354,2026-03-12 11:28:16,66,43,1,https://xueqiu.com/1505944393/379104354,看了一个说什么跌到40～50的，知道50元多少市值吗？大概350亿，某个碳酸锂在15万均价的时候光碳酸锂利润都是40～50亿了，其他至少10亿，请问至少50～60亿利润，请问上升周期就给不到7倍估值吗//@不可思亿: 期望永远买在低点是不现实的。顺周期过程中本来就要面对回调问题。,"来源
：雪球App
，作者
： 雪月霜
，
（https://xueqiu.com/1505944393/379104354
）
看了一个说什么跌到40～50的
，知道50元多少市值吗
？大概350亿
，某个碳酸锂在15万均价的时候光碳酸锂利润都是40～50亿了
，其他至少10亿
，请问至少50～60亿利润
，请问上升周期就给不到7倍估值吗//@不可思亿: 期望永远买在低点是不现实的
。
顺周期过程中本来就要面对回调问题
。
查看对话
收起
@牡蛎奋斗：
瑞银3月10日发布
：
本轮锂价上行周期或长于市场预期
（持续至2027年后
）
，锂价有望涨至25万元/吨
；供应端存在下行风险
，需求端具备可持续性
，供需错配将支撑锂价
。
基于与锂电行业专家电话会议
，专家认为本轮锂价上行周期可能超出市场预期
，锂价有望升至25万元/吨
，并持续到2027年之后
。
• 供应端
：
1.预测2026年全球有效锂化工品供应为197.5万吨LCE
（同比+26%
）
，2027年为241.7万吨LCE
（同比+22%
）
。
2.强调当前供应预测偏乐观
，未计入江西复产延迟
、津巴布韦锂精矿出口禁令等潜在供应中断因素
。
3.2028-2030年全球锂供应增速将大幅放缓至13%/11%/6%
。
• 需求端
：
1.预测2026/2027年全球锂需求为203.8/248.7万吨LCE
（同比+27%/22%
）
，2028-2030年需求增速为18%/16%/14%
，虽放缓但仍超过供应增速
。
2.储能
（BESS
）需求
：只要全球能源结构转型和可再生能源发展持续
，BESS需求就具备可持续性
，并非部分市场看空者认为的
“一次性需求
”
。
3.电动车需求
：对中国2026年初电动车销量疲软不太担忧
，认为中国电动车渗透率天花板或为80%
（当前仅50%
）
，且重卡电动化将提供额外需求支撑
。#宁德时代##赣锋锂业##比亚迪#

瑞银3月10日发布
：
本轮锂价上行周期或长于市场预期
（持续至2027年后
）
，锂价有望涨至25万元/吨
；供应端存在下行风险
，需求端具备可持续性
，供需错配将支撑锂价
。
基于与锂电行业专家电话会议
，专家认为本轮锂价上行周期可能超出市场预期
，锂价有望升至25万元/吨
，并持续到2027年之后
。
展开
昨天 16:55· 转发 11· 讨论 156· 赞 91"
379100593,2026-03-12 11:15:04,83,28,1,https://xueqiu.com/1505944393/379100593,海螺水泥当初21～22年吹得人有多少？这个当初可不比白酒少，当水泥真正到底部，行业性亏损，业绩大幅下降时候，当初全部跑了，某些人不要高估白酒大v，大部分会跑的，不信到时候看吧，现在洋河大v不是撒丫子跑了，实际上洋河有问题吗，确认有，但是真的要破产吗,"来源
：雪球App
，作者
： 雪月霜
，
（https://xueqiu.com/1505944393/379100593
）
海螺水泥当初21～22年吹得人有多少
？这个当初可不比白酒少
，当水泥真正到底部
，行业性亏损
，业绩大幅下降时候
，当初全部跑了
，某些人不要高估白酒大v
，大部分会跑的
，不信到时候看吧
，现在洋河大v不是撒丫子跑了
，实际上洋河有问题吗
，确认有
，但是真的要破产吗"
379099728,2026-03-12 11:12:05,27,2,0,https://xueqiu.com/1505944393/379099728,回复@股市金田一: 这个谁知道呢，也可能全跑了，因为他们看到业绩崩盘了//@股市金田一:回复@雪月霜:夹头们这下有福了，又能所谓的攒股收息了，而且是三年起步···,"来源
：雪球App
，作者
： 雪月霜
，
（https://xueqiu.com/1505944393/379099728
）
回复@股市金田一: 这个谁知道呢
，也可能全跑了
，因为他们看到业绩崩盘了//@股市金田一:回复@雪月霜:夹头们这下有福了
，又能所谓的攒股收息了
，而且是三年起步
·
·
·
查看对话
收起
@雪月霜：
消费股是长周期
，反转没那么快
，你们不要跟资源股去比
，哪怕资源股行业性亏损
，倒逼去产能
，也不是一年内就能反转的
，很多都是1～2年
，这个时间还是抛去了下行时间
，这个下行时间可能3～5年
，以神华为例13年开始利润下行
，连续下行3年
，直到16年初达到极低200多子动力煤
，才算到了底部
，真正上行时间是17年
，某些人问题是白酒25年利润才开始下行
，怎么可能26年就反转呢
，这个渠道库存可是积压了很多年
，真正问题其实是26～27年才会集中爆发的好吧
，当初东阿阿胶用了壮士断腕方法
，强行去库存也是去了3年多时间才打好反转基础
，其实白酒需要更长时间的
消费股是长周期
，反转没那么快
，你们不要跟资源股去比
，哪怕资源股行业性亏损
，倒逼去产能
，也不是一年内就能反转的
，很多都是1～2年
，这个时间还是抛去了下行时间
，这个下行时间可能3～5年
，以神华为例13年开始利润下行
，连续下行3年
，直到16年初达到极低200多子动力煤
，才算到了底部
，真正上行时...
展开
2小时前· 转发 1· 讨论 18· 赞 125"
379099051,2026-03-12 11:09:47,62,2,1,https://xueqiu.com/1505944393/379099051,水泥跟白酒不一样地方在于周期阶段，实际上水泥已经开始反转上行，过了集中暴雷阶段，今年水泥业绩大概率高于去年，后者可不是,"来源
：雪球App
，作者
： 雪月霜
，
（https://xueqiu.com/1505944393/379099051
）
水泥跟白酒不一样地方在于周期阶段
，实际上水泥已经开始反转上行
，过了集中暴雷阶段
，今年水泥业绩大概率高于去年
，后者可不是"
379098325,2026-03-12 11:07:07,60,7,2,https://xueqiu.com/1505944393/379098325,之所以聊白酒比较多，是今年白酒正式进入底部，这个时间点就是问题集中爆发时间段,"来源
：雪球App
，作者
： 雪月霜
，
（https://xueqiu.com/1505944393/379098325
）
之所以聊白酒比较多
，是今年白酒正式进入底部
，这个时间点就是问题集中爆发时间段"
379097401,2026-03-12 11:03:48,35,7,0,https://xueqiu.com/1505944393/379097401,回复@股市金田一: 其实白酒问题是过去问题积压太严重，三年疫情期间都能实现销售业绩成长，这太逆天了，实际上怎么增长的都知道，当时如果主动戳破虚假泡沫其实用不了那么长时间的//@股市金田一:回复@雪月霜:之前早就讲过，白酒下行从21年开始，到上行，也许会超过十年，没人信，现在好了，事实正...,"来源
：雪球App
，作者
： 雪月霜
，
（https://xueqiu.com/1505944393/379097401
）
回复@股市金田一: 其实白酒问题是过去问题积压太严重
，三年疫情期间都能实现销售业绩成长
，这太逆天了
，实际上怎么增长的都知道
，当时如果主动戳破虚假泡沫其实用不了那么长时间的//@股市金田一:回复@雪月霜:之前早就讲过
，白酒下行从21年开始
，到上行
，也许会超过十年
，没人信
，现在好了
，事实正在一步步到来
。
查看对话
收起
@雪月霜：
消费股是长周期
，反转没那么快
，你们不要跟资源股去比
，哪怕资源股行业性亏损
，倒逼去产能
，也不是一年内就能反转的
，很多都是1～2年
，这个时间还是抛去了下行时间
，这个下行时间可能3～5年
，以神华为例13年开始利润下行
，连续下行3年
，直到16年初达到极低200多子动力煤
，才算到了底部
，真正上行时间是17年
，某些人问题是白酒25年利润才开始下行
，怎么可能26年就反转呢
，这个渠道库存可是积压了很多年
，真正问题其实是26～27年才会集中爆发的好吧
，当初东阿阿胶用了壮士断腕方法
，强行去库存也是去了3年多时间才打好反转基础
，其实白酒需要更长时间的
消费股是长周期
，反转没那么快
，你们不要跟资源股去比
，哪怕资源股行业性亏损
，倒逼去产能
，也不是一年内就能反转的
，很多都是1～2年
，这个时间还是抛去了下行时间
，这个下行时间可能3～5年
，以神华为例13年开始利润下行
，连续下行3年
，直到16年初达到极低200多子动力煤
，才算到了底部
，真正上行时...
展开
2小时前· 转发 1· 讨论 18· 赞 125"
379093781,2026-03-12 10:52:10,123,18,1,https://xueqiu.com/1505944393/379093781,消费股是长周期，反转没那么快，你们不要跟资源股去比，哪怕资源股行业性亏损，倒逼去产能，也不是一年内就能反转的，很多都是1～2年，这个时间还是抛去了下行时间，这个下行时间可能3～5年，以神华为例13年开始利润下行，连续下行3年，直到16年初达到极低200多子动力煤，才算到了底部，真正上行时...,"来源
：雪球App
，作者
： 雪月霜
，
（https://xueqiu.com/1505944393/379093781
）
消费股是长周期
，反转没那么快
，你们不要跟资源股去比
，哪怕资源股行业性亏损
，倒逼去产能
，也不是一年内就能反转的
，很多都是1～2年
，这个时间还是抛去了下行时间
，这个下行时间可能3～5年
，以神华为例13年开始利润下行
，连续下行3年
，直到16年初达到极低200多子动力煤
，才算到了底部
，真正上行时间是17年
，某些人问题是白酒25年利润才开始下行
，怎么可能26年就反转呢
，这个渠道库存可是积压了很多年
，真正问题其实是26～27年才会集中爆发的好吧
，当初东阿阿胶用了壮士断腕方法
，强行去库存也是去了3年多时间才打好反转基础
，其实白酒需要更长时间的"
379090624,2026-03-12 10:42:46,87,5,0,https://xueqiu.com/1505944393/379090624,当初东阿阿胶用了极端方法直接主动暴雷，19年直接干亏损，也是花了4年时间才能实现反转的，这才哪到哪,"来源
：雪球App
，作者
： 雪月霜
，
（https://xueqiu.com/1505944393/379090624
）
当初东阿阿胶用了极端方法直接主动暴雷
，19年直接干亏损
，也是花了4年时间才能实现反转的
，这才哪到哪"
379089289,2026-03-12 10:39:19,62,2,2,https://xueqiu.com/1505944393/379089289,其实只要去白酒经销商看一看就知道，今年远不如去年，怎么可能今年能反转，白酒是跟地产有一定关联性的，并不是说渠道库存降低，就能继续压货了，需要消费回暖，反转至少是28年以后的事情，某些人急什么，目前白酒问题是消费一直很低迷，反转至少也得2年以后才有可能,"来源
：雪球App
，作者
： 雪月霜
，
（https://xueqiu.com/1505944393/379089289
）
其实只要去白酒经销商看一看就知道
，今年远不如去年
，怎么可能今年能反转
，白酒是跟地产有一定关联性的
，并不是说渠道库存降低
，就能继续压货了
，需要消费回暖
，反转至少是28年以后的事情
，某些人急什么
，目前白酒问题是消费一直很低迷
，反转至少也得2年以后才有可能"
379088349,2026-03-12 10:36:29,40,8,0,https://xueqiu.com/1505944393/379088349,回复@周来财: 今年哪个都反转不了//@周来财:回复@雪月霜:预判一下白酒这一轮谁是最先在财报上利润反转的，我认为是洋河，时间在今年年底,"来源
：雪球App
，作者
： 雪月霜
，
（https://xueqiu.com/1505944393/379088349
）
回复@周来财: 今年哪个都反转不了//@周来财:回复@雪月霜:预判一下白酒这一轮谁是最先在财报上利润反转的
，我认为是洋河
，时间在今年年底
查看对话
@雪月霜：
$五粮液(SZ000858)$$泸州老窖(SZ000568)$ 其实白酒过去积累问题太多了
，底部是持续性的
，消化库存也不是一年内就能搞定的
，某些人不要想当然认为白酒利润只下跌一年
，实际上是有2～3年持续性低迷或者下行
，所以目前计算利润能算的准吗
，底部算不准好吧
3小时前· 讨论 18· 赞 68"
