发布时间,正文
2014-03-04 16:49:00,重仓的$长信科技(SZ300088)$ 今天大幅拉升，为3月开了个好头。 因为昨天晚上研究出公告的破绽，早上又加仓了。 现在收益不错，该股每天振幅较大，适合滚动操作，在这大盘极不稳定的情况下，不断做t。 关于该股今年的思路，今天晚点再发布。 重仓的$长信科技(SZ300088)$ 今天大幅拉升，为3月开了个好头。 因为昨天晚上研究出公告的破绽，早上又加仓了。 现在收益不错，该股每天振幅较大，适合滚动操作，在这大盘极不稳定的情况下，不断做t。 关于该股今年的思路，今天晚点再发布。
2014-03-04 22:30:00,长信科技今年关注的几个理由 $长信科技(SZ300088)$ 今年重点关注的几大理由： 1. 业绩从上市以来连续4年30%的增长幅度，净资产收益率达到15%附近，大股东最近几年从动作上来看越来越激进，也意味公司正在加速前进。 2. 昨天的公告可以看出，大股东对2014年定下了新的盈利目标，那就是22E，而他们也在为这个目标进行一...
2014-06-29 19:26:00,关于$元征科技(02488)$ ，现在看看元征多少钱？？呵呵，赚翻了 @Alex_ai@milesyu@郑钱花花@Oo小左 关于$元征科技(02488)$ ，现在看看元征多少钱？？呵呵，赚翻了 @Alex_ai@milesyu@郑钱花花@Oo小左
2014-03-06 15:19:00,$信雅达(SH600571)$ 公司重点关注的几个领域都有爆发性增长的可能性。随便一个产品放量，公司的业绩就会有突破性的上升，目前前期走势集中放量，后来缩量新高后，近期下跌后，风险释放基本告一段落。一旦缩量盘整企稳后，有望加速上行，建议强烈关注。
2014-03-08 15:35:00,本周看$长信科技(SZ300088)$ 靠近周线的趋势线上轨，已经在离上轨附近抛出，等调整，估计下周低点会在20.7附近，计划从21左右开始再次进场。从形态来看，该股周5缩量大阴，有跟大盘调整的节奏，尾盘大幅跳水，说明短线资金较多，尾盘发现拉升无望，出局观望，周1估计还会顺势打压。短期内估计还是震荡为主。把握低吸的机会。 该股每天有5%以上的振幅，周线基本是大于10%左右的振幅，这样这样计算，下周低点在20.7，高点在22.7附近。短线操作比较好的可以适当滚动操作。把握不好的买入后可以中线持有。 @Alex_ai@milesyu@Oo小左@郑钱花花 本周看$长信科技(SZ300088)$ 靠近周线的趋势线上轨，已经在离上轨附近抛出，等调整，估计下周低点会在20.7附近，计划从21左右开始再次进场。从形态来看，该股周5缩量大阴，有跟大盘调整的节奏，尾盘大幅跳水，说明短线资金较多，尾盘发现拉升无望，出局观望，周1估计还会顺势打压。短期内估计还是...
2014-03-09 11:27:00,@milesyu@Oo小左@郑钱花花@Alex_ai
2014-03-10 00:22:00,@Alex_ai@milesyu@Oo小左@郑钱花花
2014-03-10 21:27:00,$长信科技(SZ300088)$  今天受大盘影响破位大跌。今天进场成本在20.44左右，2成仓位。控制的还行。 从江恩的历史走势推未来走势的理论来看，短期支撑在19.9附近，今天勉强收到这附近，不知道明天的支撑的如何。 从短期支撑来看，有3个支撑位，19.85， 19.6，以及19（这个就是回补之前的缺口了） 明天计划分别在这3个位置挂单进场做t。 @Alex_ai@Oo小左@郑钱花花@milesyu $长信科技(SZ300088)$ 今天受大盘影响破位大跌。今天进场成本在20.44左右，2成仓位。控制的还行。 从江恩的历史走势推未来走势的理论来看，短期支撑在19.9附近，今天勉强收到这附近，不知道明天的支撑的如何。 从短期支撑来看，有3个支撑位，19.85， 19.6，以及19（这个就是回补之前的缺口...
2014-03-13 20:32:00,@郑钱花花@Oo小左
2014-03-14 00:37:00,"$长信科技(SZ300088)$ 出意料的停牌导致T也不能做了，有点郁闷，不过从走势来看还在下降通道里面，实际上不管是出什么消息，消息是利空的概率基本为0.而如果是中性的话，还是看大盘环境，如果是利好的话，看利好的大小，如果大环境不好，利好可能会冲高回落，目前看分析这些意义不大。个人觉得是利好的概率很大，但是从停牌公告表述看，收购资产的概率偏低，如果是收购资产，要声明为资产重组，另外按照今年的动作看，11号刚发完债券又立马质押股份，质押了1500w股，大概也是2e左右，具体要干什么不太清楚，这是极力差钱的表现，可能是要自主新建投资项目，如果是和谁合作开新的子公司？ 最后个人觉得该股的发展空间和潜力都是不错的，只是最近放量太大，主力建仓成本都在这附近，什么时候真正的缩量了，才有大戏。 整理一下最近该公司做的一系列事情： 1.大股东减持，让第二股东上位，这样以前的创业团队有绝对主导权 2.上位后，继续增持股票，增加对公司的信心，而且也是确实看到公司今年会继续增长 3.发债券，预计收益22e等说明今年增长基本是保证的。 4.接着又质押股份，还是要钱。 5.停牌,策划重大事项..... @Oo小左@郑钱花花@milesyu@Alex_ai $长信科技(SZ300088)$ 出意料的停牌导致T也不能做了，有点郁闷，不过从走势来看还在下降通道里面，实际上不管是出什么消息，消息是利空的概率基本为0.而如果是中性的话，还是看大盘环境，如果是利好的话，看利好的大小，如果大环境不好，利好可能会冲高回落，目前看分析这些意义不大。个人觉得是利..."
