发布时间,正文
2020-11-12 01:00:29,『拼多多腾讯明晚喜迎三季报』高盛预计，拼多多今年第三季度GMV（成交总额）将达4210亿元人民币，同比增长69%，较市场预期高12%。高盛报告还指出，随着“多多买菜”开始发力，用户的购买频率和黏性进一步提高，助推了拼多多用户的总使用时长。彭博社一致预期，三季度拼多多营收121.81亿元，同比增长62.1%；调整后净亏损12.7亿元，调整后每股亏损1.24元。从二季度的财报看，拼多多用户依然保持高速增长，二季度新增5510万的最大单季涨幅，将京东和阿里甩在身后，在活跃用户上继续大幅缩小与电商巨头的用户数差距。同一季度内，京东年活跃用户新增3000万至4.2亿，阿里国内市场新增1600万至7.42亿。此前，高盛预计，拼多多三季度月活跃用户将首次迈过7亿大关，增长至7.18亿，与阿里巴巴的差距进一步缩小。$腾讯控股(00700)$ $美团-W(03690)$ $拼多多(PDD)$
2020-11-25 21:05:36,兴盛，同程，阿里十荟团，滴滴橙心，美团，多多，贝壳，今日头条，快手……生鲜和日用百货超市的大敌。$拼多多(PDD)$ $美团-W(03690)$ $阿里巴巴(BABA)$
2020-12-07 23:13:28,年初看好的两家公司都涨了300%……$拼多多(PDD)$ $哔哩哔哩(BILI)$
2020-12-11 21:49:59,12月11日，京东集团发布公告称，将以7亿美元战略投资湖南兴盛优选电子商务有限公司（以下简称“兴盛优选”）。京东集团表示，通过投资兴盛优选，双方将在数据、技术、仓储和短链物流等领域开展紧密合作，更好的扎根于下沉市场，服务农村、振兴地方经济。与市面上其他的社区团购做法截然不同，京东集团首席战略官廖建文表示：“京东集团投资兴盛优选主要基于双方在商业价值观层面的高度一致，我们共同的目的就是用技术和供应链能力赋能线下门店，尤其是不发达地区的线下门店，帮助低线市场的门店主消除信息不对称、降低流通成本、提升经营效率，实现更好的选品和经营，通过他们来触达和服务消费者，而不是替代他们。”长期以来，由于物流成本高昂、信息不发达，下沉市场零售成本高企，不仅消费者很难享受到低价优质的商品和服务，数以百万的线下门店也长期处于微利经营，抵抗风险能力差。为了彻底解决这个行业痛点，京东专门组建了面向下沉市场的战略新兴业务京喜事业群，其拥有独立的品牌京喜，以“省出新生活”为价值主张，旨在成为老百姓生活消费的首选平台。京喜品牌包含四大类业务：主打社交电商的京喜APP、主打社区团购的京喜拼拼、为下沉市场线下门店提供优质商品和服务的京喜通（原京东新通路），以及提供高效可靠物流服务的京喜快递。廖建文表示，借助投资兴盛优选和打造京喜品牌，京东将以创新的精神和强大的供应链体系探入下沉市场，为消费者提供低价不低质、省钱又省心的购物体验，同时帮助更多的门店和线下业态降低成本、改善效率，积极为社会创造更多的就业机会，为下沉市场注入更多的经济活力。$拼多多(PDD)$ $美团-W(03690)$ $京东(JD)$
2020-12-11 22:56:40,$美股公司价投(ZH1790130)$ @Value罗宾逊 终于找到了个原因回调，在农业改造上没有比拼多多更用心，更用力，更用金，更政治正确的。接下来是春晚多多支付和多多买菜推广，未来国际化是板上钉钉的事。特别认同今日资本徐新的一句话：伟大的公司本来就不多，碰到伟大的公司，就要长期持有。拼多多过去的超高速发展证明了自己，展望未来天花板也不可限量。$拼多多(PDD)$  $腾讯控股(00700)$
2020-12-12 00:27:19,财富全球未来50强，科技公司小米集团、拼多多、阿里巴巴、腾讯控股依次入围
2020-12-14 09:03:55,有些v试图辩论得出社区团购（电商） 不应该存在，而不是如何规范“无序”？人日都还只区分个模式创新和科技创新，而你直接否定模式创新，非蠢即坏$腾讯控股(00700)$ $拼多多(PDD)$ $美团-W(03690)$
2020-12-24 23:12:34,球友@灿爷灿爷 很有意思的观点反垄断环境下，阿里巴巴是垄断行为，腾讯控股是垄断地位。侧面也体现出护城河宽度。希望腾讯给个更好点的价格$拼多多(PDD)$
2020-12-25 08:18:42,对二选一行为反垄断加速了这种“流淌”态势。不过拼多多重SKU ，价格权重大以及黄峥不做天猫的思路似乎跟品牌商家利益导向有所冲突。继续观察这种冲突怎么化解？$阿里巴巴(BABA)$ $京东(JD)$ $拼多多(PDD)$
2020-12-30 04:19:38,20201230 PDD 2000亿美金get2020互联网上市公司大合影👻$拼多多(PDD)$ $哔哩哔哩(BILI)$ $腾讯控股(00700)$
2021-01-05 06:05:06,脑袋决定屁股OR屁股决定脑袋系列#拼多多陷22岁员工意外离世风波# 没有定论的情况下，选择相信拼多多的公关回应。如果被证伪马上卖出，小赌怡情。
2021-01-10 19:59:03,1.先看看黄峥所谓的本分是什么，再来评判拼多多和黄峥是不是本分，是不是说一套做一套；2.看看黄峥四周年五周年两篇内部讲话，感受下黄峥对拼多多多实惠多乐趣初级阶段的定位，以及初级阶段下艰苦奋斗干GM活下来的斗志，对多多买菜业务的高度重视；3.看了12，更能初步理解员工事件发生背后的原因，这更多是高层一心干GM，但部分士兵并不觉得是在二万五长征，事件导火索下情绪爆发视作资本家压榨。理论上，如果GM能胜利，员工士兵可以拿到期权成为股东。4.从事件发酵过程暴露出的信息看，拼多多确实存在组织建设文化宣导不到位的问题，包括一些基础后勤保障不到位，这是艰苦奋斗成本控制下的结果。拼多多应该四周年时已经认识到，而且有意识改进。在这次成为成为社会焦点后，期望而且我想能看到拼多多会求责于己，积极改善，我相信股东自身也不想看到管理跟不上。Ps：网络信息形形色色，尤其在这种牵扯人性化和感情的敏感问题上，是考验投资人理性平常心的时候：像高管vip坑位和你已本分这都不是事实，而这种可能流传很快，推波助澜。而其他暴露出的一些的管理短板（有些待考证，有些是事实）也是明显存在的。
2021-01-25 23:45:56,$珍惜拼多多(ZH1718729)$ @Value罗宾逊 春节春晚取消这事短期看利好意外落空，本是多多买菜和多多支付推广的绝好机会，要不这种行情下，已经30%-50%涨幅没有问题。不过同时也是高歌猛进过程中的一个反思的机会，希望失之东隅，收之桑榆。
