博主,发布时间,链接,正文
史诗级韭菜,3天前,https://www.bilibili.com/opus/1183385243807121413,"当时我带大家挖掘的时候非凡领越只有20多亿市值，是历史最低点

如果你能坚持下来，现在就拥有3倍的李宁股票

你买入20万，就等于持有60万李宁，非常不错。 // 转发原文: 非凡领越财报解读：持有李宁市值增加至70亿，买入等于持有1.4倍的李宁股票，Clarks扭亏为赢，本体业务回归正现金流"
史诗级韭菜,3天前,https://www.bilibili.com/opus/1183382765588971570,[视频] 非凡领越财报解读：持有李宁市值增加至70亿，买入等于持有1.4倍的李宁股票，Clarks扭亏为赢，本体业务回归正现金流
史诗级韭菜,3天前,https://www.bilibili.com/opus/1183377010344329220,[视频] 中关村科技租赁财报解读：北京市充值后负债率大幅下降，经营性现金流大幅增长500%，可支配现金利润正2亿以上，股息由于扩股而摊薄
史诗级韭菜,3天前,https://www.bilibili.com/opus/1183365096152236035,看来得多睡觉了
史诗级韭菜,3天前,https://www.bilibili.com/opus/1183358851270836233,没享福命啊
史诗级韭菜,3天前,https://www.bilibili.com/opus/1183341095835140097,小米财报我不敢解读啊
史诗级韭菜,3天前,https://www.bilibili.com/opus/1183331045637881857,[视频] 海底捞财报解读：下半年收入及利润环比回升，翻台率回升至3.9，主品牌到店人数下降，外卖、第二曲线乐观
史诗级韭菜,3天前,https://www.bilibili.com/opus/1183306633012314114,肯德基发动价格战了
史诗级韭菜,3天前,https://www.bilibili.com/opus/1183306203527118887,海底捞业绩小雷
史诗级韭菜,3天前,https://www.bilibili.com/opus/1183294469651300370,Q4有点凉
史诗级韭菜,3天前,https://www.bilibili.com/opus/1183282246184861701,[视频] 第1149日投资记录：跟随市场回血但大幅跑输恒指，这个月依然深度亏损，太难了！
史诗级韭菜,3天前,https://www.bilibili.com/opus/1183261930982211591,海底捞估计业绩不错
史诗级韭菜,3天前,https://www.bilibili.com/opus/1183223233356234760,[视频] 中国食品（中粮可口可乐）财报解读：增速中规中矩，实际估值9pe周围，资产负债结构依然惊艳，股息增长太少
史诗级韭菜,3天前,https://www.bilibili.com/opus/1183217654175891494,铝罐成本压力大
史诗级韭菜,3天前,https://www.bilibili.com/opus/1183215588288233477,资产负债非常乐观
史诗级韭菜,3天前,https://www.bilibili.com/opus/1183211851668783112,中粮可乐业绩出了
史诗级韭菜,3天前,https://www.bilibili.com/opus/1183196918104195076,好的买点太难出现啊
史诗级韭菜,3天前,https://www.bilibili.com/opus/1183165551952789504,极端啊
史诗级韭菜,03月23日,https://www.bilibili.com/opus/1182994809780961281,困难啊总是有的
史诗级韭菜,03月23日,https://www.bilibili.com/opus/1182963194542424064,最坏的情况假设
史诗级韭菜,03月23日,https://www.bilibili.com/opus/1182947599510929428,期货现在是地狱难度
史诗级韭菜,03月23日,https://www.bilibili.com/opus/1182946615966564356,谨慎乐观啊
