ID,发布时间,点赞数,评论数,转发数,链接,摘要,正文
355866345,2025-10-09 22:18:44,9,1,0,https://xueqiu.com/4925086612/355866345,巴西好像Master独家？墨西哥基本都是Visa永久免年费好理解，没返利是个啥逻辑巴西好像要付费参加返利计划17.7%的NIM，风险调整后的NIM也有9.2%。90天以内NPL4.4%，90天以上NPL6.6%。1.2亿用户，活跃用户1亿+，总共366亿美元存款，人均366，如果用Active Investment Cu...,巴西好像Master独家？墨西哥基本都是Visa永久免年费好理解，没返利是个啥逻辑巴西好像要付费参加返利计划17.7%的NIM，风险调整后的NIM也有9.2%。90天以内NPL4.4%，90天以上NPL6.6%。1.2亿用户，活跃用户1亿+，总共366亿美元存款，人均366，如果用Active Investment Customers36.2MM算差不多人均1000美元。贷款273亿美元，人均贷款不到300美元
355413479,2025-10-03 23:12:32,11,2,0,https://xueqiu.com/4925086612/355413479,回复@黑色磁铁: 日韩人均饮酒量算高的，但新加坡香港都很低，一半也到不了。中国男性人均饮酒量应该接近于平均数2倍。日本年轻女性饮酒比例可能已经超过年轻男性，3%以下低酒精度饮品流行和女性饮酒有关，但这些趋势都快20年了。当下日本最热的品类是无醇/零酒精啤酒，麒麟的占比超过10%，朝日的远...,回复@黑色磁铁: 日韩人均饮酒量算高的，但新加坡香港都很低，一半也到不了。中国男性人均饮酒量应该接近于平均数2倍。日本年轻女性饮酒比例可能已经超过年轻男性，3%以下低酒精度饮品流行和女性饮酒有关，但这些趋势都快20年了。当下日本最热的品类是无醇/零酒精啤酒，麒麟的占比超过10%，朝日的远期目标是50%//@黑色磁铁:回复@我無形:国内有一半人是不喝酒的，就是不会主动喝。只有聚餐聚会喝一点。而主动喝的另一半，喝啤酒的都少，南方人清酒米酒威士忌，北方人直接白酒，高度酒为主。预调酒没市场。
355410375,2025-10-03 22:18:45,10,5,0,https://xueqiu.com/4925086612/355410375,柠檬道大概21年就进入中国市场了，差不多23年就退出了 网页链接,柠檬道大概21年就进入中国市场了，差不多23年就退出了 网页链接
355389682,2025-10-03 15:07:45,15,4,0,https://xueqiu.com/4925086612/355389682,$津上机床中国(01651)$ 日资控股，17年上市，至今8年。FY17收入16亿到FY25收入43亿，CAGR13%。但是，过去10年中有4年是下滑的，去掉疫情的20年也有3年，23-24年连续两年下滑。净利率从不到7%涨到18%+，净利润从1亿出头涨到近8亿，7倍，CAGR27%。网页链接,$津上机床中国(01651)$ 日资控股，17年上市，至今8年。FY17收入16亿到FY25收入43亿，CAGR13%。但是，过去10年中有4年是下滑的，去掉疫情的20年也有3年，23-24年连续两年下滑。净利率从不到7%涨到18%+，净利润从1亿出头涨到近8亿，7倍，CAGR27%。网页链接IPO价格4.73，累计分红4.56，分红比例40%+。25年股息0.95，现价股息率3%，24年底股价股息率近8%，股价涨幅大部分在25年实现。25年2月起有持续回购，从11回购到30，今年回购占总股本约2%，尚未进入港股通。11亿现金，无有息负债。静态PE14倍，但FCF显著低于净利，FY25应收增加明显。
354553145,2025-09-26 10:03:30,10,0,0,https://xueqiu.com/4925086612/354553145,里面有张图不太清晰 查看图片,里面有张图不太清晰查看图片
354088848,2025-09-23 22:15:55,34,12,1,https://xueqiu.com/4925086612/354088848,清酒复苏跟年轻人口味从“辛口”到“甘口”的变迁有关（老年人还是喝辛口的），而风格的转变背后是很多年轻酿酒者回乡接手酒造，“新派”共同努力的结果。獭祭的成功除了吸引年轻人以外，核心是国际化。獭祭的总收入大概200亿日元左右，其中纯清酒187亿日元，日本国内100亿日元，海外87亿日元，占...,清酒复苏跟年轻人口味从“辛口”到“甘口”的变迁有关（老年人还是喝辛口的），而风格的转变背后是很多年轻酿酒者回乡接手酒造，“新派”共同努力的结果。獭祭的成功除了吸引年轻人以外，核心是国际化。獭祭的总收入大概200亿日元左右，其中纯清酒187亿日元，日本国内100亿日元，海外87亿日元，占比47%，獭祭的未来核心也在国际市场。日本国内的5亿人民币，放大10倍也就50亿。网页链接网页链接
353785319,2025-09-22 12:10:16,13,0,0,https://xueqiu.com/4925086612/353785319,这个不好说吧，亚马逊欧洲总部卢森堡，PDD把注册地址迁到爱尔兰也是为了Temu欧洲业务,这个不好说吧，亚马逊欧洲总部卢森堡，PDD把注册地址迁到爱尔兰也是为了Temu欧洲业务
353335617,2025-09-18 17:15:29,7,6,0,https://xueqiu.com/4925086612/353335617,回复@坚信价值: $IDEXX实验室(IDXX)$ 动物/宠物体外诊断，类似剃须刀/打印机的商业模式。就是这估值有点吓人了吧，不忍心@另外一家龙头//@坚信价值:回复@坚信价值:欧美的宠物拥有率在疫情居家那几年跳跃上升。疫情期间收养的宠物，绝大多数（约90%的狗和87%的猫）都成功融入了家庭，并没有出现大规...,回复@坚信价值: $IDEXX实验室(IDXX)$ 动物/宠物体外诊断，类似剃须刀/打印机的商业模式。就是这估值有点吓人了吧，不忍心@另外一家龙头//@坚信价值:回复@坚信价值:欧美的宠物拥有率在疫情居家那几年跳跃上升。疫情期间收养的宠物，绝大多数（约90%的狗和87%的猫）都成功融入了家庭，并没有出现大规模弃养的情况。在2026-2027年前后会迎来宠物老龄化的一波，与宠物诊断治疗有关的营收也会大幅上升。$IDEXX实验室(IDXX)$ $硕腾(ZTS)$
353310142,2025-09-18 15:19:22,14,17,0,https://xueqiu.com/4925086612/353310142,Meta Rayban的眼镜带着跑步没几个月汗水浸入就坏了，换腿花了500。韶音已经坏了2副了（IP55的）。产品还是看细节啊。这次Airpods Pro 3防水等级升级到了IP57，准备回归Airpods Pro了。Meta和Oakley这个Vanguard合作款IP67，还是和Garmin合作的，看着很哇塞啊。要不要再信Meta一次 查看图片,Meta Rayban的眼镜带着跑步没几个月汗水浸入就坏了，换腿花了500。韶音已经坏了2副了（IP55的）。产品还是看细节啊。这次Airpods Pro 3防水等级升级到了IP57，准备回归Airpods Pro了。Meta和Oakley这个Vanguard合作款IP67，还是和Garmin合作的，看着很哇塞啊。要不要再信Meta一次查看图片
353275306,2025-09-18 13:48:38,22,6,0,https://xueqiu.com/4925086612/353275306,回复@Simply08: Lulu肯定也有些问题，但自身问题更多，而非竞争。Lulu的瑜伽服带来的人设效果，很难复制到鞋和羽绒服上，也很难复制到男装上，导致扩品类受阻。传统运动品牌往往是以运动鞋的技术立足，服装为辅，虽然服装的规模可以做得比鞋大。Alo可以关注一下，招了始祖鸟的人进军中国。Maia看安...,回复@Simply08: Lulu肯定也有些问题，但自身问题更多，而非竞争。Lulu的瑜伽服带来的人设效果，很难复制到鞋和羽绒服上，也很难复制到男装上，导致扩品类受阻。传统运动品牌往往是以运动鞋的技术立足，服装为辅，虽然服装的规模可以做得比鞋大。Alo可以关注一下，招了始祖鸟的人进军中国。Maia看安踏发挥了。但说目前有实质性冲击，还看不到，仍然小众，现在说要把Maia估值对标Lululemon的几分之几估计也没有投资者会答应吧。要说品牌之间的竞争，高端小众的户外品牌更多，也未见其他达到国内始祖鸟国外Patagonia的水平。女性的品牌忠诚度低于男性可能是的。回到这两个品牌，核心矛盾还是在北美市场。服装是非常注重SKU数量、库存管理等运营问题的，比较普通的商业模式遇到困境应该更加谨慎//@Simply08:回复@我無形:是的，榜单主要是销量，所以同样面对山寨和平替，Crocs在对应领域的排行依然很高这个现象有趣，更低的客单价并没有带来集中某一个平替品牌对其的冲击，回到lulu，lulu的这个现象证明市场是有需求的，认可lulu的对核心用户心智，但是不太懂也没想明白lulu应对战争的方式，lulu既没法像nike一样通过场景内的运动员代言，也没法通过Crocs一样，通过联名来维护热度，alo对lulu的竞争其实没那么担心，认可时尚会变，反而有很多用lulu类似气质的基本款产品类似maia，用lulu的产品气质打lulu，看上去对lulu的进攻也有效，这个没想太明白
