ID,发布时间,点赞数,评论数,转发数,页码,链接,摘要,正文
319718189,2025-01-08 08:40,47,5,1,22/35,https://xueqiu.com/1393486978/319718189,$亚盛医药-B(06855)$ 这也是抗衰先驱UNITY临床开发的背水一战，和眼科大药阿柏西普头对头...,$亚盛医药-B(06855)$ 这也是抗衰先驱UNITY临床开发的背水一战，和眼科大药阿柏西普头对头的二期今年揭盲。 1.亚盛保留了中国权益，以及拥有UNITY的部分股权 2.若BCL-xl验证临床潜力，亚盛的下一代BCL-xL蛋白降解剂有望向DME包括AMD，甚至更多抗衰老领域的更高治疗标准发起冲击。
319542945,2025-01-06 22:37,21,3,0,22/35,https://xueqiu.com/1393486978/319542945,回复@落花满径花满楼: $亚盛医药-B(06855)$ 如果连这个流言的基本辨识能力都没有的话，就不...,回复@落花满径花满楼: $亚盛医药-B(06855)$ 如果连这个流言的基本辨识能力都没有的话，就不用考虑投资亚盛了。
319475679,2025-01-06 14:13,33,17,2,22/35,https://xueqiu.com/1393486978/319475679,回复@flcq: $和铂医药-B(02142)$ 已经从第地下十七层提升到第十六层了。...,"回复@flcq: $和铂医药-B(02142)$
已经从第地下十七层提升到第十六层了。"
319352837,2025-01-05 08:18,118,33,0,22/35,https://xueqiu.com/1393486978/319352837,$亚盛医药-B(06855)$ 今年上半年2575国内完成上市，意味着2575作为基石药物全球腾飞的...,"$亚盛医药-B(06855)$
今年上半年2575国内完成上市，意味着2575作为基石药物全球腾飞的开始。
1.意味着以2575为基石的联合用药探索能够快速陆陆续续展开。
2.亚盛此前开了两个不起眼的临床。
3.一个是2575和1351联合，针对儿童R/R ph+ALL，急性血液肿瘤，复发难治的病人，这个证明了两药联合下的无化疗方案是有实质性效果的。而且是两药联合的时候，相对于奥雷巴替尼单药有着明显的增益。
4.另一个是2575和APG115联合，针对儿童神经母细胞瘤，来观察两药联合在实体瘤上的获益情况。
5.由于都是未批准上市的新药的联合，因此在早期适应症临床探索当中。只能选择冷门的，无药可医的适应症在监管层面得到应允寻求突破，探索联合用药在临床上的表现如何。而这样的探索，不仅是为了在对应适应症上得到收获，更是由此摸到了药物在该类型适应症上的特性和潜力，以便于将来在时机到来时，进行类似适应症大规模的拓展和铺开。
6.后来，随着1351在国内获批，围绕着1351在国内的联合用药临床试验的探索得以顺利展开，无论是IND还是IIT。适应症除了儿童R/R ph+ALL，还包括ALL的全人群，以及其它亚组，而后是AML和CML，以及更多的目前未可知的探索。
7.因此，2575预期今年上半年将要获批的意义，国内能增加多少销售额是一方面，而比这个重要得多得多的意义在于，2575作为一款已经上市的药，接下来能够在国内，与其它的未上市管线在广阔的各个适应症上的联合治疗探索，将得以顺利展开，除了2575+1351，包括2575+115，2575+2449，2575+bclxl降解剂以及2575+mdm2p53降解剂，甚至是未来三药和三药以上的联合。
8.国内广大的患者基数，临床的执行速度和成本优势，形成了在全球创新药端，尤其是在全球创新的过程中探索各个适应症未被满足的需求，在新药的有效性安全性探索中，提供了得天独厚的极具优势和价值的土壤。在国内摸到了有效的高潜力方案，立马扩展到全球。这将带来最高的研发效率，创造最高的投入产出比。
9.现在这波美股上市，打开了biotech资金持续获取的通路，成为了亚盛完成蜕变和进化到一下个阶段完全体的重要依仗。以前钱是最大的瓶颈，未来钱是最不需要担心的问题。
10.药物发现的职能，在密歇根和苏州，美国优势，也正在开始向国内迁移和复制。临床团队，已完成了中、美、欧、澳的布局，通过多年的磨合，已具备非常高效的运转体系，在血液肿瘤领域，已经通过过往多年的积累，和中美两地顶尖的PI、研究中心、CRO形成了良好的工作配合。小分子CMC的体系，也越来越成熟，为全球拓展也打下了很好的基础。不经意间，在过去的几年，亚盛作为一家bitech，已经在全球创新药产业链除了商业化之外的各个环节，拿到了制高点，达成了最具全球创新运营效率的运转条件。
$亚盛医药-B(06855)$
今年上半年2575国内完成上市，意味着2575作为基石药物全球腾飞的开始。
1.意味着以2575为基石的联合用药探索能够快速陆陆续续展开。
2.亚盛此前开了两个不起眼的临床。
3.一个是2575和1351联合，针对儿童R/R ph+ALL，急性血液肿瘤，复发难治的病人，这个证明..."
319340719,2025-01-04 20:46,40,9,0,22/35,https://xueqiu.com/1393486978/319340719,$亚盛医药-B(06855)$ 更完了。可能对于一些研究亚盛不深的朋友读起来有些吃力，在本帖下互动讨...,"$亚盛医药-B(06855)$
更完了。可能对于一些研究亚盛不深的朋友读起来有些吃力，在本帖下互动讨论。"
319320489,2025-01-04 13:34,175,117,6,3/4,https://xueqiu.com/1393486978/319320489,$亚盛医药-B(06855)$ 不写废话，直接上结论。1.Lisaftoclax几乎不可能把海外权益以类似武田方案那样完全授权出去，如果有BD发生，那基本可以确定是共同开发。2575是亚盛面向未来全球创新可持续发展的基石，亚盛必须得拥有2575的开发自主权。2.在细胞凋亡通路Bcl2家族中， Bcl-2 Bcl...,"以Bcl-2为基石的全球创新战略
来自flcq的雪球专栏
来源
：雪球App
，作者
： flcq
，
（https://xueqiu.com/1393486978/319320489
）
$亚盛医药-B(06855)$
不写废话
，直接上结论
。
1.Lisaftoclax几乎不可能把海外权益以类似武田方案那样完全授权出去
，如果有BD发生
，那基本可以确定是共同开发
。2575是亚盛面向未来全球创新可持续发展的基石
，亚盛必须得拥有2575的开发自主权
。
2.在细胞凋亡通路Bcl2家族中
， Bcl-2 Bcl-xl Mcl-1都很重要
，开发都很难
。然而
，重要的是
，Bcl-2成药了
，而且
，Lisaftoclax是一款安全性足够好
，联合用药安全窗口足够大的药
。
3.在天风电话会上
，大俊所提到的
，基于Bcl-2治疗最终形成进展的主要原因
，相比起基因突变
，更重要的原因是Mcl-1的上调
，而Mcl-1抑制剂和Bcl-xl抑制剂类似
，存在着难以克服的安全性问题难以直接成药
，因此
，通过间接抑制的方式
，来抑制Mcl-1的上调
，能带来治疗效果的提升
。而APG115
，奥雷巴替尼
，以及化疗
，都有抑制Mcl-1上调的机制
。
4.BTK在CLL上大获成功的核心
，一个是在该适应症上实现了肿瘤慢病化
，另一个是实现了无化疗口服的一线治疗方案
。从适应症的诊疗方案进化来看
，从化疗
，到免疫化疗
，到BTK
（去化疗
）
，再到BTK+Bcl-2固定疗程
（停药
）
，CLL是一个显著的代言
，全面展示着彻底战胜一种肿瘤适应症的药物进化方式
，全面展示着
“未被满足的临床需求
”对应的解决方案的升级方式
。
5.AML/MDS目前是2575+阿扎胞苷的方案来冲注册
，阿扎胞苷作为一种弱化疗去甲基化药物
，依然会引发不低比例的骨髓抑制
，正如以前反复提到的
，在肿瘤慢病化管理中
，严重的骨髓抑制往往比肿瘤本身更为麻烦和凶险
。2575+阿扎胞苷拿下AML/MDS适应症
，绝不是2575在该适应症上探索的终结
，而是2575作为基石药物
，在适应症上探索的开始
。至少目前而言
，有明确的2575+1351
，2575+115
，2575+2449这三种自有体系的联用组合
，能够从机制上证明在AML/MDS中能间接下调Mcl-1
，有更好地临床获益潜力
，来探索出一种更加安全
，依从性更好
，甚至完全去化疗的联合治疗方式
，延长pfs和os
。同时
，AML在维奈克拉耐药的模型中
，发现往往伴随着Bcl-xl的高表达
，而未来将进入临床的Bcl-xl PROTAC
，将会成为2575又一个金牌搭档
。
6.首先对照SOC先拿下注册
，而后进一步探索更佳的产品组合
，基于Bcl-2
，再加一个小分子口服药
，是未来血液肿瘤各个适应症当中
，最具想象空间和开发潜力的治疗方案
。1351+2575的组合
，正在证明ph+ALL
，不用化疗
，不用移植
，仅仅只是通过在家口服
，能把急性血液肿瘤变成又一个CML或CLL
，同样
，也预示着AML和MDS以及更多的血液肿瘤适应症的未来
，从控制
，到延长pfs和os
，到持续慢病化
，再到停药治愈
。
7.在实体肿瘤中
，需要同时靶向Bcl-2
，Bcl-xL和Mcl-1
，由于Bcl-xL抑制剂无法解决的血小板毒性
，Mcl-1抑制剂的心脏毒性
，使得集齐三英战实体瘤永远是一个传说而已
。然而随着进入到了PROTAC时代
，亚盛掏出了Bcl-xL和Mdm2-p53这两把利剑
。使得三剑合璧成为可能
。同时
，在多种肿瘤适应症上都会遇上的预后很差
，针对tp53突变的亚组
，也有了潜在的解决办法
。
8.Lisaftoclax
，作为Bcl-2抑制剂中最安全的一个
，因此在联合治疗时代
，拥有着最大的安全治疗窗口
，且没有药物-药物相互作用
。说得直白点
，2575联用很好用
，维奈克拉联用毒性太大很麻烦
。这是在应用层面
，和维奈克拉相比
，最大
、最根本性的不同
。
9.幸运的是
，圣
·奥雷巴替尼的路越走越宽
，作为多靶点TKI
，且具备下调Mcl-1的机制
，能够作为2575最好的搭档
。关键是
，两个药物
，都是安全性非常好的药
，总有很好的联用治疗窗口
，且都没有药物-药物相互作用
。同样幸运的是
，APG2449也是又一款安全性很好的药物
，ASH2024会议的报告中
，也明确了其具备下调Mcl-1的能力
。
10.更加幸运的是
，蛋白降解剂时代来临
，这正好又是属于亚盛的版本
。少萌的竞争力和研究成果在未来十年将会通过临床推进得到进一步的放大
。APG115和APG1252这两个开路先锋
，有了机制更加明确
，直指解决痛点的升级版
，为了把剂型改成口服
，做出更好的依从性和更大的联合用药空间
，APG265
（Mdm2-p53蛋白降解剂
）
，整整晚面世了快三年
。
11.未来围绕2575的联合用药方案
，除了1351
，还有FAK
，MDM2p53和Bcl-xL
，双药联合
，三药联合
，甚至四药联合
，除了血液肿瘤
，在实体肿瘤上的探索和攻城略地才刚刚开始
。
12.如果只有四件套的潜力
，Bcl-2绝无任何可能能被称之为
“小分子的PD1
”
。一款具备着联用价值的Bcl-2
，在Bcl-xl的血小板毒性难题被攻克
，MCL1可实现间接抑制的时代到来之时
，于实体瘤的开发
，有更广阔的星辰大海
。
13.当2014年
，PD1基于孤儿药适应症上市
，十年之后
，2000亿美金市值的默沙东说了一句非常经典的话
：
“我们的战略无比清晰
，我们的战略只有一个
，就是帕博利珠单抗
。
”
14.Lisaftoclax
，从战略定位而言
，绝不是一个更大号的奥雷巴替尼
，它是承载亚盛全球创新战略的核心
，是基石
。
（全文完
）"
319308653,2025-01-04 10:22,45,14,0,22/35,https://xueqiu.com/1393486978/319308653,$亚盛医药-B(06855)$ 昨天天风会议，有价值量巨大的信息，亚盛未来的持续发展路线越来越清晰了...,$亚盛医药-B(06855)$ 昨天天风会议，有价值量巨大的信息，亚盛未来的持续发展路线越来越清晰了。
318933089,2025-01-01 21:24,50,28,0,22/35,https://xueqiu.com/1393486978/318933089,$亚盛医药-B(06855)$ 年终总结和新年展望： “你年化收益多少？” “不知道，没关注。” “...,"$亚盛医药-B(06855)$
年终总结和新年展望：
“你年化收益多少？”
“不知道，没关注。”
“你预计2025年收益率能到多少？”
“有可能赚。有可能亏。”
“亏能亏多少？”
“亏50%是有可能的。”
“能亏那么多？”
“一年亏50%在股市里不是非常正常的吗？”
$亚盛医药-B(06855)$
年终总结和新年展望：
“你年化收益多少？”
“不知道，没关注。”
“你预计2025年收益率能到多少？”
“有可能赚。有可能亏。”
“亏能亏多少？”
“亏50%是有可能的。”
“能亏那么多？”
“一年亏50%在股市里不是非常正常的吗？”"
318686618,2024-12-30 20:27,77,22,0,22/35,https://xueqiu.com/1393486978/318686618,$亚盛医药-B(06855)$ “你会做交易吗？” “会。” “交易做得好吗？” “还不错。” “量...,"$亚盛医药-B(06855)$
“你会做交易吗？”
“会。”
“交易做得好吗？”
“还不错。”
“量化和你比呢？”
“量化厉害一点。”
“一点是多少？”
“一点就是，量化只要把开关一点，作为它的对手，我就已经投降了。”
“量化哪些方面比你厉害？”
“经验样本远胜于我，下单速度远胜于我，进化能力远胜于我，知行合一远胜于我。”
“那怎么办？那还能继续玩吗？”
“能。”
“那还怎么玩？量化各方面都远胜于你。做量化的对手盘那不就是韭菜吗？”
“能玩。”
“怎么玩？硬着头皮和量化干？玩幸存者偏差？”
“那不至于，玩是为了赢，不赢为什么要玩？”
“你怎么赢？怎么玩？”
“我比量化厉害，怎么就不能玩？”
“你怎么就比量化厉害了？”
“量化玩多，我玩少。量化的优势是样本多，而我玩极少数人玩的样本，玩量化难以形成大数据的样本。”
“就这？”
“量化玩快，我玩慢。量化和我比，它手快我永远也比不上。我和量化比谁更慢，我一年都不下一次单，量化不可能比我更慢。”
“有点意思，还有呢？”
“量化往有进化，我往无去进化。量化目前还是基于冯.诺依曼体系，站在数据、计算机图形学角度的体系进化。我不玩这个，和它比这个怎么都是输。我玩量化从来没玩过，也不会去玩的，我站在经济学，社会学，管理学，物化生医以及心理学这些复合学科综合起来的进化，量化应该在这方面至少目前怎么也比不上我。”
“那知行合一呢？”
“量化还有知行合一这一说，我连交易都不做，都没有行，哪存在所谓的知行合一？”
“那你买了总得考虑着什么时候卖吧？卖也是行。”
“我买的时候，就没想过卖。”
$亚盛医药-B(06855)$
“你会做交易吗？”
“会。”
“交易做得好吗？”
“还不错。”
“量化和你比呢？”
“量化厉害一点。”
“一点是多少？”
“一点就是，量化只要把开关一点，作为它的对手，我就已经投降了。”
“量化哪些方面比你厉害？”
“经验样..."
318555366,2024-12-29 20:26,218,55,13,3/4,https://xueqiu.com/1393486978/318555366,$亚盛医药-B(06855)$  不少球友问过我一个问题：作为一个非医学药学专业出身的，是如何研究创新药这个行业的？谨以此文代为该问题的交流。同时也是作为2024年最后一篇长文，期待2025年的新年开篇。  以下为正文： 公元二零二五年，黄帝纪元四七二三年，共和七十六年，基因泰克纳斯...,"药企发展史
，半张藏宝图
来自flcq的雪球专栏
来源
：雪球App
，作者
： flcq
，
（https://xueqiu.com/1393486978/318555366
）
$亚盛医药-B(06855)$
不少球友问过我一个问题
：作为一个非医学药学专业出身的
，是如何研究创新药这个行业的
？谨以此文代为该问题的交流
。同时也是作为2024年最后一篇长文
，期待2025年的新年开篇
。
以下为正文
：
公元二零二五年
，黄帝纪元四七二三年
，共和七十六年
，基因泰克纳斯达克上市四十五年
，香港18A开埠八年
。
师从于世界
，亦融合于本土
，18A提供了一方水土
，让数十家创新药企的种子在东方得以生发
。
作为创新药企的种子和幼苗
，从出生那刻起就背负着身为创新药企的因果和业力
，无论是在东方或是西洋
，都不例外
。
因为产业逻辑是相同的
，所以企业发展逻辑也是有高度共性的
。
为什么投资创新药
？投资18A
？
因为找到了一个用一级市场的投资模式在二级市场进行投资实践的一个难得的池子
。
相比一级市场投资好在哪儿
？
因为有流动性
。相比一级市场
，没有根本上的退出障碍
，甚至不用交税
。
相比一级市场投资难在哪儿
？
因为有流动性
。今天买了当天就能卖出
，投资的获利其中有一个根本的因素是来自于被动的持有
，在随时可以卖出的情况下进行长期持仓
，需要有更大的格局和更强的心性力量
。
时间
，空间
，都是放大格局的维度
。
投资
，本就是一场开放式游戏
。
游戏中有攻略在手
，是通向高手之路的最快捷径
。
幻方为什么牛
，他们在K线图中总结规律
，形成攻略
，而后严丝合缝地去执行
。
而长期投资的攻略在哪里
？
半部藏宝图
，藏在历史里
。
百倍牛股的缘起条件和发展史
，TOP100大药的开发历程
，是最好的投资攻略
。
对于血液肿瘤的启蒙
，受益于读了很多篇关于新基制药发展史的文章
，包括沙利度胺和来那度胺
。
网页链接
网页链接
对于罕见病为什么在美国能做出重磅炸弹
，biotech能不能自己做销售
，认知建立于Alexion被AZ天价收购
，源于认真扒过Soliris是如何年销售额如何一步步做到了40亿美金
。
网页链接
对于拥有领先新技术平台的公司
，Genmab
，Seagen
，Alnylam
，Kymera
，他们各自的成长发展路径
，最终各自在怎样的路径和条件下获取成长和丰收
。
创新药投资
，是一场很好玩的游戏
，角色众多
，剧情丰富
，主线饱满
，副本有趣
。
关键是
，有取之不尽用之不竭的攻略可做参考
，从而大幅提高游戏的胜率
。
毕竟
，投资这场游戏
，无法做到只求爽不求赢
。
玩一个新游戏
，不怕刚开始不会玩
，怕的是没有攻略随时卡在瓶颈里无法通向下一关
。
所以从这个角度来说
，创新药行业
，是最容易的投研
，因为历史上的百倍大牛股太多了
，数据和信息太多太全了
，可以带来参考意义的攻略实在是太多了
。
以史为镜
，可知兴替
。
除了胜利的剧情
，反面教材更是不胜枚举
。
有一些宝藏
，是或有或无的
，绕着走或许会错过一些东西
，然而不至于因此让自己陷入困局
。
作为计算机专业学习
、金融行业从业
、创新药投研的三料发烧友
，看到资本大佬D.E.SHAW创立AI制药全球龙头级公司$Schrodinger(SDGR)$ 的故事
，不可能不去深研个底朝天…Dynamo平台
，Anton超级计算机
，ASIC芯片
……
网页链接
网页链接
网页链接
网页链接
因此
，在当前朋友咨询我晶泰控股的时候
，我能够站在多个维度
，更加全面地对其进行解析
，包括其最终最有可能的归宿进行一个理性的推测和判断
。
作为颠覆性技术投资的受益者
，十多年前已经会运用Gartner曲线来帮助自己发现和深入理解判断新技术背后的投资/投机的机会
网页链接
因此
，对于具备颠覆性意义的潜在生物制药技术
，不可能不无动于衷
。
敬畏之心
，也是基于深入研究的基础上展开的
。
正因为此前仔仔细细研究和跟踪着过 $Sana Biotechnology(SANA)$
，顶级天团创业
，临床前管线所能创造的最大的IPO金额
，新一代car-t的领军biotech
，在面对科济药业的投资线梳理时
，能有更多更理性的参照
，也更容易做到更客观去看待
。
网页链接
网页链接
网页链接
为什么总是在说
，或许美国投资者更容易看懂和理解亚盛医药
？
原因只有一个
。
美国投资者开创
、见证
、经历
、参与了更多的创新药biotech公司
，为投资者带来巨额投资收益的历史
。
而这类公司
，都有着相似的发展轨迹
。
半张藏宝图
，刻在历史里
。
而另外的半张呢
？
另外的半张
，在创业者和团队日拱一卒的发展和践行中
，不断书写
。
天行健
，君子以自强不息
。"
318530751,2024-12-29 11:07,51,10,1,22/35,https://xueqiu.com/1393486978/318530751,$亚盛医药-B(06855)$ 2024年行近结束，明年春天的年报会，应该会是个阳光明媚的日子。...,"$亚盛医药-B(06855)$
2024年行近结束，明年春天的年报会，应该会是个阳光明媚的日子。"
